[TCP] RX serial=48 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=49 src=FE dst=00 code=00 reg=0x05065000 len=10 wlen=0
[TCP] RX serial=4A src=FE dst=00 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=4B src=FE dst=00 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=4C src=FE dst=00 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=4D src=FE dst=01 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=4E src=FE dst=01 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=4F src=FE dst=02 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=50 src=FE dst=02 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=51 src=FE dst=00 code=00 reg=0x02200117 len=1 wlen=0
[TCP] RX serial=52 src=FE dst=00 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=53 src=FE dst=00 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=54 src=FE dst=01 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=55 src=FE dst=01 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=56 src=FE dst=02 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=57 src=FE dst=02 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=58 src=FE dst=03 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=59 src=FE dst=03 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=5A src=FE dst=04 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=5B src=FE dst=04 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=5C src=FE dst=05 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=5D src=FE dst=05 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=5E src=FE dst=06 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=5F src=FE dst=06 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=60 src=FE dst=07 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=61 src=FE dst=07 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=62 src=FE dst=08 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=63 src=FE dst=08 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=64 src=FE dst=09 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=65 src=FE dst=09 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=66 src=FE dst=0A code=00 reg=0x02000000 len=256 wlen=0
